mediaID,mainTitle,broadcaster,longSummary,shortSummary,icons,subTitle,thumbnail,shareLink,Topic,season
POW_03746499,Goedemorgen Nederland,WNL,"Te gast zijn voorzitter van de Autoriteit Persoonsgegevens Aleid Wolfsen en misdaadjournalist Jan Meeus. Met hen hebben we het over het OM die na Bandidos, nu ook motorclub Satudarah wil verbieden. En over de nieuwe privacywet, waar de meeste bedrijven nog niet klaar voor zijn.",Te gast zijn voorzitter van de Autoriteit Persoonsgegevens Aleid Wolfsen en misdaadjournalist Jan Meeus.,leeftijd-al, 8 mei 2018 07:40 - Seizoen 2018 Afl. 77 - Goedemorgen Nederland,https://images.npo.nl/header/2560x1440/1045752.jpg,https://www.npostart.nl/POW_03746499,44,2018
KN_1706811,Spoorloos Extra,KRO-NCRV,"Het vervolg op de zoektocht van Jeroen, die vorig jaar op Costa Rica zijn moeder Virginia ontmoette. Vijfendertig jaar geleden was Virginia ongehuwd zwanger geraakt. Met pijn in haar hart stond ze Jeroen af. Toen Jeroen onlangs een week bij zijn moeder verbleef, leerde hij haar beter kennen. Hij vond het moeilijk dat Virginia hem beschouwde als substituut voor een twee jaar geleden overleden andere zoon. Maar hij snapt haar reactie wel. Bovenal heeft de hereniging hem rust gebracht.","Het vervolg op de zoektocht van Jeroen, die vorig jaar op Costa Rica zijn moeder Virginia ontmoette.",leeftijd-al,20 mei 2019 21:25 - Seizoen 2019 Afl. 4 - Jeroen: periode van leren kennen en wennen,https://images.npo.nl/header/2560x1440/1224929.jpg,https://www.npostart.nl/KN_1706811,54,2019
BV_101392575,Lex Lokaal,BNNVARA,"Het mooie aan opgroeien in een dorp is de kameraadschap, de onvoorwaardelijke vriendschap door dik en dun. Lex ontmoet een hechte vriendengroep uit IJzerlo, wiens keet een plek is waar vriendschappen voor het leven zijn ontstaan. Verder reist Lex naar Belt-Schutsloot, waar het hele dorp zich klaarmaakt voor de jaarlijkse gondelvaart. Hier volgt hij de voorbereidingen van de meest fanatieke familie van het hele dorp: de familie Knobbe. Tot slot maakt hij kennis met Janita, die een wel heel bijzondere hobby deelt met haar vader Harry: dragracen.","Lex ontmoet een hechte vriendengroep uit IJzerlo, wiens keet een plek is waar vriendschappen voor het leven zijn ontstaan.","leeftijd-al,grof_taalgebruik",28 mrt 2019 21:45 - Seizoen 1 Afl. 4 - Lex Lokaal,https://images.npo.nl/header/2560x1440/1193192.jpg,https://www.npostart.nl/BV_101392575,54,1
KN_1725157,Kruispunt,KRO-NCRV,"Koningin Máxima wordt in mei vijftig. Ze is het populairste lid van het Oranjehuis en we kennen haar vooral van haar mooie glimlach en modieuze creaties. Maar ze is meer dan dat. Naast de koning staat een vrouw die zich wil inzetten voor onze samenleving en die probeert te inspireren en te verbinden. Wat drijft haar? Hoe maakt ze het verschil? Maar ook, wat is haar valkuil? Schrijfster Marcia Luyten, royaltywatcher Rick Evers en Hans Clevers, voormalig wetenschappelijk directeur van het Prinses Máxima Centrum, laten hun licht over de koningin schijnen. Ook komen gewone Nederlanders die Máxima hebben ontmoet aan het woord.",Koningin Máxima wordt vijftig. Ze is het populairste lid van de Oranjes. We kennen haar van haar glimlach en modieuze creaties. Maar ze wil zich ook inzetten voor onze samenleving. Wat drijft haar?,leeftijd-al,Ma 26 apr 22:50 - Seizoen 2021 Afl. 15 - De maatschappelijke antenne van Máxima,https://images.npo.nl/header/2560x1440/1567542.jpg,https://www.npostart.nl/KN_1725157,44,2021
AT_2092013,Flikken Maastricht,AVROTROS,"Eva en Wolfs onderzoeken de moord op een jongeman die voor zijn dood zwaar gemarteld is. Het spoor leidt al snel naar de coffeeshop waar hij werkte. Maar de eigenaar werkt niet mee en ook de ouders van de jongen vertellen niet alles. Romeo mag met een nieuwe collega, Esmee, op stap. Ze worden geconfronteerd met een reeks tasjesroven. Na de aanslag op Pension de Ponti hebben Wolfs en Eva hebben een tijdelijk onderkomen in een hotel gekregen. Fleur heeft een ander plan, ze vraagt of haar vader misschien bij haar wil wonen. Eva sluit vriendschap met Joes, een barman in het hotel.",Eva en Wolfs onderzoeken de moord op een jongeman die voor zijn dood zwaar gemarteld is. Het spoor leidt al snel naar de coffeeshop waar hij werkte.,"leeftijd-12,geweld,angst,grof_taalgebruik",14 dec 2017 00:00 - Seizoen 5 Afl. 2 - Geript,https://images.npo.nl/header/2560x1440/998133.jpg,https://www.npostart.nl/AT_2092013,54,5
AT_2144170,Radar,AVROTROS,"Bij het regelen van de uitvaart voor je dierbare heb je niet veel te kiezen. Als je de uitvaart hebt doorgenomen en wilt weten hoeveel het ongeveer gaat kosten, krijg je niet gelijk antwoord. * Veel mensen in Driebergen hebben hun watermeter in een put in hun voortuin. Makkelijk voor waterbedrijf Vitens, maar zo'n 20 jaar later wil Vitens zelf niet meer de put in en zeggen ze dat de bewoners het zelf maar moeten doen. * Veel mensen betaalden 450 euro borg voor het huren van een auto. Maanden later hebben ze hun borg nog steeds niet terug. * Wat gebeurt er met ons pensioen? Na jarenlang wachten ligt er een nieuw pensioenakkoord op tafel.",Radar duikt in de werkwijze van de uitvaartbranche * Na jarenlang wachten ligt er een nieuw pensioenakkoord op tafel * Fons gaat op pad in Radar checkt,leeftijd-al,Radar,https://images.npo.nl/header/2560x1440/1502130.jpg,https://www.npostart.nl/AT_2144170,54,0
BV_101406697,3 op Reis,BNNVARA,"Jennifer reist verder door Jordanië en komt aan in Salt waar ze op pad gaat met de eerste vrouwelijke gids van de stad. Ook slaapt ze in een homestay die al haar verwachtingen overtreft. Nienke vervolgt haar reis door Turkije. Dit keer brengt ze een bezoek aan Hasankeyf; een eeuwenoude stad, die door de komst van een omstreden stuwdam nu volledig onder water ligt.",Jennifer reist verder door Jordanië en komt aan in Salt. Ook slaapt ze in een homestay. Nienke vervolgt haar reis door Turkije. Dit keer brengt ze een bezoek aan Hasankeyf; een eeuwenoude stad.,leeftijd-al,Zo  6 mrt 19:45 - Seizoen 15 Afl. 23 - As-Salt (JO) - Hasankeyf & Van (TR),https://images.npo.nl/header/2560x1440/1677577.jpg,https://www.npostart.nl/BV_101406697,59,15
POW_03738690,Tijd voor MAX,MAX,"Nicole Buch laat zich dit weekend vrijwillig opsluiten in een vrouwengevangenis om geld op te halen voor Pink Ribbon. Nicole en Eric Kamphuis, bedenker van de actie, leggen uit hoe ze dit voor elkaar hebben gekregen. * De musical Expeditie Eiland gaat dit weekend in première. Hoofdrolspelers Jelka van Houten en Ferry Doedens vertellen aan onze tafel wat we van de musical kunnen verwachten. * Een gezond leven begint in de darm. Poepdokter Nienke Gottenbos is terug met een nieuw boek gericht op aanstaande moeders en kinderen. We bespreken met Nienke waarom ze zo graag praat over poep. * De 3JS treden op. * Robèrt van Beckhoven staat in de keuken.","Te gast: Nicole Buch, Eric Kamphuis, Jelka van Houten, Ferry Doedens, Nienke Gottenbos, 3JS en Robèrt van Beckhoven.",leeftijd-al,26 okt 2018 17:10 - Seizoen 2018 Afl. 128 - Nicole Buch weer de gevangenis in,https://images.npo.nl/header/2560x1440/1107035.jpg,https://www.npostart.nl/POW_03738690,54,2018
AT_2140478,Brugklas,AVROTROS,Liz twijfelt of ze Timo moet bekennen dat ze is vreemdgegaan. Haar moeder adviseert haar om dat niet te doen. Zal ze de raad van haar moeder opvolgen?,Liz twijfelt of ze Timo moet bekennen dat ze is vreemdgegaan. Haar moeder adviseert haar om dat niet te doen. Zal ze de raad van haar moeder opvolgen?,"leeftijd-al,grof_taalgebruik",21 jan 2021 18:00 - Seizoen 12 Afl. 64 - Vreemdgaan,https://images.npo.nl/header/2560x1440/1530762.jpg,https://www.npostart.nl/AT_2140478,44,12
BV_101404652,De Vooravond,BNNVARA,"Flitshandelaren verdienen veel geld door schommelingen op de beurs. Hoe werkt het precies? Te gast zijn hoogleraar Albert Menkveld en economisch journalist Sander Heijne. * In onze reeks lijsttrekkersgesprekken is vanavond Lilianne Ploumen te gast. * Mátyás Bittenbinder toont ons bijzondere samenwerkingen in het dierenrijk. * Vanavond is de studio een klein museum met enkel werk van vrouwelijke kunstenaars. Aan tafel kunstenaars Fong Leng en Iris Frederix, museumdirecteur Ann Demeester en conservator Imara Limon. * Leden van de Junior Company van het Nationaal Ballet vragen aandacht voor kunst en cultuur.","Te gast: Albert Menkveld, Sander Heijne, Lilianne Ploumen, Mátyás Bittenbinder, Fong Leng, Iris Frederix, Ann Demeester, Imara Limon en leden van de Junior Company van het Nationaal Ballet.",leeftijd-al,12 mrt 2021 19:00 - Seizoen 2 Afl. 20 - De Vooravond,https://images.npo.nl/header/2560x1440/1551843.jpg,https://www.npostart.nl/BV_101404652,44,2
VPWON_1251306,De Vloer Op Jr.,Human,"Met: Komt u nou moeilijk uit uw woorden? -Moet ik mee naar uw kamer?! Met Mirre Licht en Nasrdin Dchar. * Dus jij hebt gelogen? -Teun, ik heb het verhaal altijd omgedraaid. Met Teun Stokkel en Stefan de Walle. * Hij hield toch wel van me? -Ik mis 'm gewoon. -Nee, je mist het idéé aan hem. Met Shahine El-Hamus en Saskia Temmink.",Acteurs uit de vaste kern van de volwassenen spelen met verrassend getalenteerde kinderen. Dit jaar met een kersverse acteur/spelleider: Yannick van de Velde.,"leeftijd-al,grof_taalgebruik","21 aug 2016 11:35 - Seizoen 2016 Afl. 1 - Komt u nou moeilijk uit uw woorden, Dus jij hebt gelogen, Hij hield toch wel van me?",https://images.npo.nl/header/2560x1440/808956.jpg,https://www.npostart.nl/VPWON_1251306,54,2016
BV_101402435,Oppassen!!!,BNNVARA,Comedyserie over twee grootvaders die samen hun kleinkinderen opvoeden omdat de ouders (vader Victor en moeder Simone) het te druk hebben met hun carrière in het Europees parlement en op toneel.,Comedyserie over twee grootvaders die samen hun kleinkinderen opvoeden omdat de ouders (vader Victor en moeder Simone) het te druk hebben met hun carrière in het Europees parlement en op toneel.,"leeftijd-al,grof_taalgebruik",Ma  3 mei 16:10 - Seizoen 6 Afl. 27 - Beeld Buys,https://images.npo.nl/header/2560x1440/1556094.jpg,https://www.npostart.nl/BV_101402435,54,6
VPWON_1312676,Nederland Zingt Dichtbij,EO,"Jan Brons is oprichter van de voedselbank in Nijkerk, waar wekelijks veel mensen langskomen voor voedsel en kleding. Iedereen die zich aanmeldt voor de voedselbank komt in gesprek met Jan en hij bidt dan voor hen. Uit de kleine wonderen die er gebeuren, blijkt dat God dichtbij is. Jan ziet het als zijn roeping en een plan van God om deze mensen in geldproblemen te helpen en het haalde hem uit een donkere periode. Omlijst met muziek, samenzang en Bijbels overdenking geeft deze uitzending een indruk van zijn inspirerende verhaal.","Jan Brons is oprichter van de voedselbank in Nijkerk, waar wekelijks veel mensen langskomen voor voedsel en kleding.",leeftijd-al, 1 mrt 2020 11:05 - Seizoen 2020 Afl. 8 - Jan Brons,https://images.npo.nl/header/2560x1440/1351898.jpg,https://www.npostart.nl/VPWON_1312676,44,2020
AT_2122888,De Mees Kees Kwis,AVROTROS,"Een spelshow waarin iedere week een klas het tegen zichzelf opneemt. Elke aflevering wordt de groep in tweeën gedeeld en er kunnen punten worden verdiend door het beantwoorden van grappige kennisvragen, sportieve opdrachten en goed opletten tijdens de les. Alle talenten van de klasgenoten worden ingezet, want om te winnen is iedereen nodig. In de serie en films van Mees Kees gaat alles net even anders. En dat is natuurlijk ook in deze kwis het geval! Schoolhoofd Dreus en gymleraar Meester Hank zijn uiteraard ook van de partij en komen langs met vragen en opdrachten. Welke groep mag uiteindelijk de prijs voor de hele klas bepalen?",Een spelshow waarin iedere week een klas het tegen zichzelf opneemt.,leeftijd-al,20 jul 2019 12:35 - Seizoen 3 Afl. 3 - Gouda,https://images.npo.nl/header/2560x1440/1244621.jpg,https://www.npostart.nl/AT_2122888,54,3
POW_00791071,Mike de Ridder,KRO,Evie gaat proberen om ook een ridder te zijn. Mike helpt haar want het is best lastig!,Evie gaat proberen om ook een ridder te zijn. Mike helpt haar want het is best lastig!,leeftijd-al,25 sep 2014 12:22 - Seizoen 2 Afl. 15 - Mike de ridder en Evie de ridder,https://images.npo.nl/header/2560x1440/538846.jpg,https://www.npostart.nl/POW_00791071,54,2
KN_1709639,BinnensteBuiten,KRO-NCRV,"Chef-kok Ramon Brugman is in het Groningse Kloosterburen, waar Ale en zijn zoon Hero Havenga speciale baktarwe verbouwen. De tarwe wordt direct naar de molenaar in de buurt gebracht om het te malen tot bloem. Hiervan gaat het patissierhart van Ramon sneller kloppen en hij weet er een mooi gerecht van te maken. * Boswachter Marieke is in het oosten van ons land, in natuurreservaat Bargerveen. Een bijzonder stukje Nederland, want hier vind je nog een van de weinige stukjes onaangetast hoogveen. Maar dit unieke plekje wordt bedreigd door invasieve, exotische planten. Planten die hier van oorsprong niet thuis horen, supersnel groeien en daarmee de soorten die hier wel thuis horen verdringen. En er valt helaas weinig aan deze invasie te doen. Je kunt wel je steentje bijdragen om ervoor te zorgen dat ze niet op nieuwe plekken gaan groeien.","Ramon bezoekt een molenaar die speciale baktarwe maalt en Marieke onderzoekt de invasieve exoten, planten die niet in Nederland thuis horen.",leeftijd-al,30 sep 2019 18:45 - Seizoen 6 Afl. 120 - BinnensteBuiten,https://images.npo.nl/header/2560x1440/1269496.jpg,https://www.npostart.nl/KN_1709639,59,6
VPWON_1336536,Sesamstraat,NTR,Tommie kan niet kiezen welke muts hij het mooist vindt.,Tommie kan niet kiezen welke muts hij het mooist vindt.,leeftijd-al,Wo  2 feb 06:35 - Seizoen 138 Afl. 35 - Sneeuw,https://images.npo.nl/header/2560x1440/1666311.jpg,https://www.npostart.nl/VPWON_1336536,59,138
KN_1710525,De Reünie,KRO-NCRV,"De bollenbozen die de wereld veroverden. Uit meer dan 800 aanmeldingen kwamen de 25 slimste, beste en meest doortastende studenten door de loodzware selectieronden om toegelaten te worden tot het 'klasje' van het ministerie van Buitenlandse Zaken. Zo ook de lichting van 1997 die in januari van dat jaar de statige laan opliep van één van de mooiste scholen van het land: Instituut Clingendael. Daar werden ze in korte tijd klaargestoomd voor het vak als diplomaat. Ruim twintig jaar laten keren ze weer terug naar de plek waar het allemaal begon om met elkaar herinneringen op te halen. Stuk voor stuk hebben ze topposities bereikt in de internationale politiek. Een aantal is ambassadeur, anderen zijn topambtenaar en elke vier jaar wordt de carrousel in werking gezet en komen ze allemaal weer ergens anders op de wereld terecht. Nu zijn ze even terug uit Burkina Faso, uit Moskou, Marokko en Myanmar en praten openhartig over hun vak. Hoe is het voor Dominique om met haar gezin in Rusland te wonen waar je voortdurend wordt afgeluisterd? En wat betekent het voor Marriët en Gerard om als stel in de diplomatieke dienst te zitten waardoor ze in totaal acht jaar niet samenwoonden? Wat doet het met Wouter om zowel de verschrikkingen van Rwanda als de ellende met de Rohinga's mee te moeten maken? En hoe houden ze zich staande in een steeds hectischer wereld? Klaus pakt vaak z'n viool. Om even wat anders te horen dan de almaar ratelende telex.",Uit meer dan 800 aanmeldingen kwamen de 25 slimste door de zware selectieronden om toegelaten te worden tot het 'klasje' van het ministerie van Buitenlandse Zaken. Ze zijn even terug op Clingendael.,leeftijd-al,27 nov 2019 21:25 - Seizoen 28 Afl. 6 - Instituut Clingendael,https://images.npo.nl/header/2560x1440/1300286.jpg,https://www.npostart.nl/KN_1710525,54,28
AT_2111172,#forever,AVROTROS,"De moeder van Dex wil dat hij naar een psycholoog gaat, maar Dex zelf zit daar niet op te wachten. Toch is zijn moeder niet de enige die zich zorgen maakt om Dex...","De moeder van Dex wil dat hij naar een psycholoog gaat, maar Dex zelf zit daar niet op te wachten. Toch is zijn moeder niet de enige die zich zorgen maakt om Dex...","leeftijd-al,grof_taalgebruik",13 sep 2019 16:35 - Seizoen 2 Afl. 8 - Naar de psych,https://images.npo.nl/header/2560x1440/1263378.jpg,https://www.npostart.nl/AT_2111172,54,2
POW_04918346,Goedemorgen Nederland,WNL,"Te gast zijn VVD-prominent Bas Eenhoorn, hoofdeconoom van ING Marieke Blom en wethouder in Rotterdam Said Kasmi. Met hen hebben we het over dat het vandaag precies tien jaar geleden dat Tristan van der Vlis een bloedbad aanrichtte in de Ridderhof en vandaag trapt de gemeente Rotterdam de festiviteiten voor het songfestival af, de voorbereidingen zijn in volle gang.","Te gast zijn VVD-prominent Bas Eenhoorn, hoofdeconoom van ING Marieke Blom en wethouder in Rotterdam Said Kasmi.",leeftijd-al,Vr  9 apr 09:40 - Seizoen 2021 Afl. 70 - Goedemorgen Nederland,https://images.npo.nl/header/2560x1440/1562132.jpg,https://www.npostart.nl/POW_04918346,44,2021
VPWON_1299012,Wilde Ganzen,EO,Het personeel van het Macha Mission Hospital in het zuiden van Zambia wil graag zoveel mogelijk mensen met een oogprobleem helpen. Dankzij hulp van de stichting Eye for Zambia kon het ziekenhuis een kleine oogafdeling openen en kan een van de specialistisch verpleegkundigen binnenkort zelfstandig staaroperaties uitvoeren. Maar het ziekenhuis wil ook graag medische instrumenten aanschaffen.,Het personeel van het Macha Mission Hospital in het zuiden van Zambia wil graag zoveel mogelijk mensen met een oogprobleem helpen. Daarom wil het ziekenhuis graag medische instrumenten aanschaffen.,leeftijd-al,29 sep 2019 13:02 - Seizoen 2019 Afl. 39 - Zambia,https://images.npo.nl/header/2560x1440/1270765.jpg,https://www.npostart.nl/VPWON_1299012,44,2019
BV_101406001,Oppassen!!!,BNNVARA,Comedyserie over twee grootvaders die samen hun kleinkinderen opvoeden omdat de ouders (vader Victor en moeder Simone) het te druk hebben met hun carrière in het Europees parlement en op toneel.,Comedyserie over twee grootvaders die samen hun kleinkinderen opvoeden omdat de ouders (vader Victor en moeder Simone) het te druk hebben met hun carrière in het Europees parlement en op toneel.,"leeftijd-al,grof_taalgebruik",Wo 16 jun 16:05 - Seizoen 7 Afl. 4 - Een blokje om,https://images.npo.nl/header/2560x1440/1580423.jpg,https://www.npostart.nl/BV_101406001,54,7
BNN_101381557,Anorexia Special,BNN,"Een intieme en nooit eerder vertoonde kijk in de strijd tegen anorexia van documentairemaakster Jessica Villerius. Op haar twaalfde werd Emma gediagnosticeerd met de dodelijke ziekte anorexia nervosa. Dat wat begon met een drang naar controle, resulteert in het verlies van controle. Op achttienjarige leeftijd is ze uitbehandeld en heeft ze nog maar een wens: ze wil naar een kliniek in Portugal, een laatste kans op overleven. Na zes jaar van gedwongen opnamen, extreme eenzaamheid, gedwongen voeding en zware strijd vraagt ze haar ouders het onmogelijke: om haar te laten gaan. Wonder boven wonder krijgt ze in Portugal een enorme opleving. Op zelfgemaakte filmpjes zien is te zien hoe Emma voor het eerst sinds jaren weer zelf eet, met een lepel in plaats van door een rietje. Ze krijgt hoop en legt op camera de belangrijkste beslissing van haar leven vast: ze kiest voor het leven. Maar het blijkt te laat: de schade aan haar lichaam is zo enorm, dat deze het langzaamaan opgeeft. Uiteindelijk bezwijkt Emma tijdens haar strijd. In de film komen Emma zelf, haar artsen, behandelaars, ouders en vriendinnen aan het woord. De documentaire wordt kort ingeleid en na afloop praten betrokkenen, patiënten en deskundigen met Sophie Hilbrand na over hoe de ziekte anorexia minder slachtoffers zou kunnen eisen.",Een intieme en nooit eerder vertoonde kijk in de strijd tegen anorexia van documentairemaakster Jessica Villerius.,"leeftijd-12,angst,grof_taalgebruik",22 nov 2016 21:20 - Seizoen 1 Afl. 1 - Anorexia Special,https://images.npo.nl/header/2560x1440/832308.jpg,https://www.npostart.nl/BNN_101381557,54,1
KN_1727894,Zapp detective,KRO-NCRV,"Kinderen worden weer uitgedaagd om mee te speuren naar een moordenaar. De populaire youtuber Ties Granzier is om het leven gebracht. Maar veel meer jeugdsterren, zoals Stefan de Vries en Milo van de Bankzitters worden bedreigd. Zij krijgen allemaal een teken van een dode vis.","De populaire youtuber Ties Granzier is om het leven gebracht. Speur mee naar zijn moordenaar, want er worden veel meer jeugdsterren bedreigd. Zij krijgen allemaal een teken van een dode vis.","leeftijd-9,angst,grof_taalgebruik",Zo 20 feb 17:15 - Seizoen 2022 Afl. 8 - Politie alert,https://images.npo.nl/header/2560x1440/1672943.jpg,https://www.npostart.nl/KN_1727894,54,2022
